,Date/Time,Lat,Lon,Base
93,9/1/2014 9:30:00,40.6211,-73.9903,B02512
94,9/1/2014 9:34:00,40.7894,-73.9754,B02512
95,9/1/2014 9:40:00,40.756,-73.9734,B02512
96,9/1/2014 9:40:00,40.7654,-73.9826,B02512
97,9/1/2014 9:42:00,40.7629,-73.9815,B02512
98,9/1/2014 9:42:00,40.7587,-73.9843,B02512
99,9/1/2014 9:43:00,40.774,-73.8722,B02512
100,9/1/2014 9:43:00,40.7868,-74.0096,B02512
101,9/1/2014 9:44:00,40.7493,-73.6195,B02512
102,9/1/2014 9:51:00,40.752,-73.9772,B02512
103,9/1/2014 9:54:00,40.7348,-73.9814,B02512
104,9/1/2014 9:56:00,40.7906,-73.9757,B02512
105,9/1/2014 9:58:00,40.7621,-73.9744,B02512
106,9/1/2014 9:58:00,40.7496,-73.9778,B02512
107,9/1/2014 10:02:00,41.016,-73.6678,B02512
108,9/1/2014 10:02:00,40.7619,-73.9685,B02512
109,9/1/2014 10:02:00,40.7382,-74.0073,B02512
110,9/1/2014 10:08:00,40.7555,-73.936,B02512
111,9/1/2014 10:09:00,40.6601,-74.1181,B02512
112,9/1/2014 10:10:00,40.7694,-73.881,B02512
113,9/1/2014 10:10:00,40.7824,-73.4439,B02512
114,9/1/2014 10:12:00,40.7587,-73.8918,B02512
115,9/1/2014 10:13:00,40.7188,-73.9987,B02512
116,9/1/2014 10:14:00,40.6872,-73.9616,B02512
117,9/1/2014 10:14:00,40.7667,-73.9973,B02512
118,9/1/2014 10:17:00,40.7577,-73.9882,B02512
119,9/1/2014 10:17:00,40.7602,-73.9668,B02512
120,9/1/2014 10:23:00,40.7272,-74.0061,B02512
121,9/1/2014 10:24:00,40.7759,-73.9612,B02512
122,9/1/2014 10:26:00,40.708,-74.0061,B02512
123,9/1/2014 10:28:00,40.7586,-73.9863,B02512
124,9/1/2014 10:34:00,40.7594,-73.9748,B02512
125,9/1/2014 10:35:00,40.7785,-73.9813,B02512
126,9/1/2014 10:37:00,40.7676,-73.9645,B02512
127,9/1/2014 10:38:00,40.7642,-73.886,B02512
128,9/1/2014 10:39:00,40.6467,-73.7894,B02512
129,9/1/2014 10:40:00,40.777,-73.9792,B02512
130,9/1/2014 10:42:00,40.8134,-73.9612,B02512
131,9/1/2014 10:42:00,40.7556,-73.9818,B02512
132,9/1/2014 10:51:00,40.6784,-73.9272,B02512
133,9/1/2014 10:52:00,40.9438,-74.0474,B02512
134,9/1/2014 10:53:00,40.7528,-73.9872,B02512
135,9/1/2014 10:56:00,40.7577,-73.9747,B02512
136,9/1/2014 10:57:00,40.7738,-73.8714,B02512
137,9/1/2014 10:58:00,40.7412,-74.006,B02512
138,9/1/2014 11:01:00,40.7545,-73.936,B02512
139,9/1/2014 11:02:00,40.7634,-73.9656,B02512
140,9/1/2014 11:02:00,40.7799,-73.9742,B02512
141,9/1/2014 11:05:00,40.7408,-73.9935,B02512
142,9/1/2014 11:06:00,40.68,-73.9582,B02512
143,9/1/2014 11:07:00,40.7828,-73.9772,B02512
144,9/1/2014 11:12:00,40.817,-73.9414,B02512
145,9/1/2014 11:14:00,40.762,-73.9742,B02512
146,9/1/2014 11:18:00,40.7707,-73.9633,B02512
147,9/1/2014 11:18:00,40.7555,-73.9814,B02512
148,9/1/2014 11:20:00,40.7688,-74.0192,B02512
149,9/1/2014 11:20:00,40.7383,-73.9948,B02512
150,9/1/2014 11:22:00,40.7236,-73.9965,B02512
151,9/1/2014 11:23:00,40.672,-73.996,B02512
152,9/1/2014 11:24:00,40.7249,-74.0354,B02512
153,9/1/2014 11:24:00,40.7249,-74.0354,B02512
154,9/1/2014 11:24:00,40.7537,-73.9948,B02512
155,9/1/2014 11:30:00,40.7652,-73.9797,B02512
156,9/1/2014 11:31:00,40.6945,-73.9985,B02512
157,9/1/2014 11:31:00,40.7735,-73.9792,B02512
158,9/1/2014 11:32:00,40.7528,-73.9852,B02512
159,9/1/2014 11:33:00,40.762,-74.0454,B02512
160,9/1/2014 11:33:00,40.6447,-73.7824,B02512
161,9/1/2014 11:36:00,40.7698,-73.9547,B02512
162,9/1/2014 11:37:00,40.7642,-73.9712,B02512
163,9/1/2014 11:42:00,40.746,-73.9724,B02512
164,9/1/2014 11:44:00,40.7638,-73.8283,B02512
165,9/1/2014 11:46:00,40.8054,-73.941,B02512
166,9/1/2014 11:46:00,40.7282,-73.9966,B02512
167,9/1/2014 11:46:00,40.7252,-73.9506,B02512
168,9/1/2014 11:46:00,40.7739,-73.8713,B02512
169,9/1/2014 11:47:00,40.7347,-74.0095,B02512
170,9/1/2014 11:51:00,40.7831,-73.9743,B02512
171,9/1/2014 11:52:00,40.6877,-74.1823,B02512
172,9/1/2014 11:53:00,40.6784,-73.9494,B02512
173,9/1/2014 11:54:00,40.7384,-73.9998,B02512
174,9/1/2014 11:57:00,40.7502,-73.9947,B02512
175,9/1/2014 11:59:00,40.7473,-73.9721,B02512
176,9/1/2014 11:59:00,40.7461,-73.9821,B02512
177,9/1/2014 12:01:00,40.7088,-73.921,B02512
178,9/1/2014 12:01:00,40.7179,-74.0146,B02512
179,9/1/2014 12:05:00,40.7701,-73.9832,B02512
180,9/1/2014 12:07:00,40.7683,-73.9848,B02512
181,9/1/2014 12:08:00,40.7496,-73.9834,B02512
182,9/1/2014 12:10:00,40.74,-73.9897,B02512
183,9/1/2014 12:10:00,40.7625,-73.9756,B02512
